origin,destination,distance_meters,duration_minutes,unlevel_percent,intersect_lon,intersect_lat
Largo Infante Dom Henrique,Rua do Povoeiros,204.9648364378057,2.459578037253668,0.030772905341964526,-8.833390600000001,41.690144000000004
Rua do Povoeiros,Largo Infante Dom Henrique,63.718095285795485,0.7646171434295459,0.7821770066569738,-8.833390600000001,41.690144000000004
Rua Góis Pinto,Rua do Povoeiros,204.9648364378057,2.459578037253668,0.030772905341964526,-8.833390600000001,41.690144000000004
Rua do Povoeiros,Rua Góis Pinto,55.314553104823624,0.6637746372578834,2.8688165508581385,-8.833390600000001,41.690144000000004
Avenida do Campo do Castelo; Alameda João Alves Cerqueira,Rua do Povoeiros,204.9648364378057,2.459578037253668,0.030772905341964526,-8.8357063,41.689543199999996
Rua do Povoeiros,Avenida do Campo do Castelo; Alameda João Alves Cerqueira,224.33670547995516,2.692040465759462,0.24303004358680208,-8.8357063,41.689543199999996
Avenida do Campo do Castelo; Alameda João Alves Cerqueira,Avenida do Campo do Castelo,60.03902604872418,0.7204683125846901,2.031568123819177,-8.8357063,41.689543199999996
Avenida do Campo do Castelo,Avenida do Campo do Castelo; Alameda João Alves Cerqueira,224.33670547995516,2.692040465759462,0.24303004358680208,-8.8357063,41.689543199999996
Rua do Povoeiros,Avenida do Campo do Castelo,60.03902604872418,0.7204683125846901,2.031568123819177,-8.8357063,41.689543199999996
Avenida do Campo do Castelo,Rua do Povoeiros,204.9648364378057,2.459578037253668,0.030772905341964526,-8.8357063,41.689543199999996
Avenida do Campo do Castelo,Rua Monsenhor Daniel Machado,210.21129174960282,2.5225355009952337,0.1446476551354324,-8.8359863,41.6900403
Rua Monsenhor Daniel Machado,Avenida do Campo do Castelo,60.03902604872418,0.7204683125846901,2.031568123819177,-8.8359863,41.6900403
Praça do Eixo Atlântico,Alameda 5 de Outubro,64.44083640531444,0.7732900368637732,0.8956497235635213,-8.827610849922323,41.69138670003332
Alameda 5 de Outubro,Praça do Eixo Atlântico,87.09003834180801,1.045080460101696,2.0926889327452227,-8.827610849922323,41.69138670003332
Praça do Eixo Atlântico,Alameda João Alves Cerqueira,227.05778845960688,2.7246934615152827,0.6997824608707754,-8.82847234838217,41.69108609319779
Alameda João Alves Cerqueira,Praça do Eixo Atlântico,87.09003834180801,1.045080460101696,2.0926889327452227,-8.82847234838217,41.69108609319779
Praça do Eixo Atlântico,Avenida dos Combatentes da Grande Guerra,112.00400374466523,1.3440480449359828,1.9714319150300985,-8.82847234838217,41.69108609319779
Avenida dos Combatentes da Grande Guerra,Praça do Eixo Atlântico,87.09003834180801,1.045080460101696,2.0926889327452227,-8.82847234838217,41.69108609319779
Praça do Eixo Atlântico,Largo de João Costa; Alameda João Alves Cerqueira,121.01898638238264,1.4522278365885917,1.2593157327280151,-8.82847234838217,41.69108609319779
Largo de João Costa; Alameda João Alves Cerqueira,Praça do Eixo Atlântico,87.09003834180801,1.045080460101696,2.0926889327452227,-8.82847234838217,41.69108609319779
Alameda João Alves Cerqueira,Avenida dos Combatentes da Grande Guerra,112.00400374466523,1.3440480449359828,1.9714319150300985,-8.82847234838217,41.69108609319779
Avenida dos Combatentes da Grande Guerra,Alameda João Alves Cerqueira,227.05778845960688,2.7246934615152827,0.6997824608707754,-8.82847234838217,41.69108609319779
Alameda João Alves Cerqueira,Largo de João Costa; Alameda João Alves Cerqueira,121.01898638238264,1.4522278365885917,1.2593157327280151,-8.82847234838217,41.69108609319779
Largo de João Costa; Alameda João Alves Cerqueira,Alameda João Alves Cerqueira,227.05778845960688,2.7246934615152827,0.6997824608707754,-8.82847234838217,41.69108609319779
Avenida dos Combatentes da Grande Guerra,Largo de João Costa; Alameda João Alves Cerqueira,121.01898638238264,1.4522278365885917,1.2593157327280151,-8.82847234838217,41.69108609319779
Largo de João Costa; Alameda João Alves Cerqueira,Avenida dos Combatentes da Grande Guerra,112.00400374466523,1.3440480449359828,1.9714319150300985,-8.82847234838217,41.69108609319779
Alameda 5 de Outubro,Praça da Galizia,61.13058257380646,0.7335669908856775,0.694231780486211,-8.820677600073372,41.69497440006127
Praça da Galizia,Alameda 5 de Outubro,713.1786715146203,8.558144058175444,0.05817416811870164,-8.820677600073372,41.69497440006127
Alameda 5 de Outubro,Rua de Límia,70.38999616750878,0.8446799540101054,0.6029094401622125,-8.820677600073372,41.69497440006127
Rua de Límia,Alameda 5 de Outubro,713.1786715146203,8.558144058175444,0.05817416811870164,-8.820677600073372,41.69497440006127
Alameda 5 de Outubro,Praça da Galiza,65.82211046532365,0.7898653255838837,0.634442575275397,-8.820677600073372,41.69497440006127
Praça da Galiza,Alameda 5 de Outubro,713.1786715146203,8.558144058175444,0.05817416811870164,-8.820677600073372,41.69497440006127
Praça da Galizia,Rua de Límia,70.38999616750878,0.8446799540101054,0.6029094401622125,-8.820677600073372,41.69497440006127
Rua de Límia,Praça da Galizia,61.13058257380646,0.7335669908856775,0.694231780486211,-8.820677600073372,41.69497440006127
Praça da Galizia,Praça da Galiza,65.82211046532365,0.7898653255838837,0.634442575275397,-8.820677600073372,41.69497440006127
Praça da Galiza,Praça da Galizia,61.13058257380646,0.7335669908856775,0.694231780486211,-8.820677600073372,41.69497440006127
Rua de Límia,Praça da Galiza,65.82211046532365,0.7898653255838837,0.634442575275397,-8.820677600073372,41.69497440006127
Praça da Galiza,Rua de Límia,70.38999616750878,0.8446799540101054,0.6029094401622125,-8.820677600073372,41.69497440006127
Avenida dos Combatentes da Grande Guerra,Rua da Picota; Rua Manuel Espregueira,193.48100184595745,2.3217720221514893,0.6685777843763212,-8.828772639215158,41.69198595599634
Rua da Picota; Rua Manuel Espregueira,Avenida dos Combatentes da Grande Guerra,56.5410843830346,0.6784930125964153,1.3974898009576384,-8.828772639215158,41.69198595599634
Avenida dos Combatentes da Grande Guerra,Rua do Anjinho,173.0590845052149,2.076709014062579,0.08163999010398947,-8.828772639215158,41.69198595599634
Rua do Anjinho,Avenida dos Combatentes da Grande Guerra,56.5410843830346,0.6784930125964153,1.3974898009576384,-8.828772639215158,41.69198595599634
Avenida dos Combatentes da Grande Guerra,Rua dos Manjovos,190.00107611582925,2.280012913389951,1.6445312717268168,-8.828772639215158,41.69198595599634
Rua dos Manjovos,Avenida dos Combatentes da Grande Guerra,56.5410843830346,0.6784930125964153,1.3974898009576384,-8.828772639215158,41.69198595599634
Rua da Picota; Rua Manuel Espregueira,Rua do Anjinho,173.0590845052149,2.076709014062579,0.08163999010398947,-8.828772639215158,41.69198595599634
Rua do Anjinho,Rua da Picota; Rua Manuel Espregueira,193.48100184595745,2.3217720221514893,0.6685777843763212,-8.828772639215158,41.69198595599634
Rua da Picota; Rua Manuel Espregueira,Rua dos Manjovos,190.00107611582925,2.280012913389951,1.6445312717268168,-8.828772639215158,41.69198595599634
Rua dos Manjovos,Rua da Picota; Rua Manuel Espregueira,193.48100184595745,2.3217720221514893,0.6685777843763212,-8.828772639215158,41.69198595599634
Rua do Anjinho,Rua dos Manjovos,190.00107611582925,2.280012913389951,1.6445312717268168,-8.828772639215158,41.69198595599634
Rua dos Manjovos,Rua do Anjinho,173.0590845052149,2.076709014062579,0.08163999010398947,-8.828772639215158,41.69198595599634
Praça da Galizia,Rua de Límia,70.38999616750878,0.8446799540101054,0.6029094401622125,-8.820220699845693,41.69522320011019
Rua de Límia,Praça da Galizia,61.13058257380646,0.7335669908856775,0.694231780486211,-8.820220699845693,41.69522320011019
Praça da Galizia,Estrada da Papanata; Praça da Galizia,96.1348920288768,1.1536187043465216,0.7796830741867559,-8.820220699845693,41.69522320011019
Estrada da Papanata; Praça da Galizia,Praça da Galizia,61.13058257380646,0.7335669908856775,0.694231780486211,-8.820220699845693,41.69522320011019
Rua de Límia,Estrada da Papanata; Praça da Galizia,96.1348920288768,1.1536187043465216,0.7796830741867559,-8.820220699845693,41.69522320011019
Estrada da Papanata; Praça da Galizia,Rua de Límia,70.38999616750878,0.8446799540101054,0.6029094401622125,-8.820220699845693,41.69522320011019
Rua da Picota; Rua Manuel Espregueira,Avenida dos Combatentes da Grande Guerra,32.244415549895194,0.38693298659874237,1.5612474257691642,-8.8293227,41.692671
Avenida dos Combatentes da Grande Guerra,Rua da Picota; Rua Manuel Espregueira,193.48100184595745,2.3217720221514893,0.6685777843763212,-8.8293227,41.692671
Avenida dos Combatentes da Grande Guerra,Travessa Luís Jácome,62.40742202486255,0.7488890642983506,5.599482269000929,-8.829123,41.69242229999998
Travessa Luís Jácome,Avenida dos Combatentes da Grande Guerra,32.244415549895194,0.38693298659874237,1.5612474257691642,-8.829123,41.69242229999998
Rua do Anjinho,Rua de Santa Clara,45.93474817306832,0.5512169780768198,7.109895368319904,-8.8306094,41.6915092
Rua de Santa Clara,Rua do Anjinho,173.0590845052149,2.076709014062579,0.08163999010398947,-8.8306094,41.6915092
Estrada da Papanata; Praça da Galizia,Estrada da Papanata,51.9127441539217,0.6229529298470603,0.22173684700972224,-8.8206549,41.6959844
Estrada da Papanata,Estrada da Papanata; Praça da Galizia,96.1348920288768,1.1536187043465216,0.7796830741867559,-8.8206549,41.6959844
Estrada da Papanata; Praça da Galizia,Praça da Galiza,113.1277677653313,1.3575332131839755,0.4180633097402699,-8.8206549,41.6959844
